epoch;acc;loss
0;0.5809903873353915;1.9602239236627466
1;0.6276395267571885;1.708317858519548
2;0.6372217512876833;1.6627517129834966
3;0.6454507223538493;1.6226747945845834
4;0.6539786541853547;1.580287406451288
5;0.6624219758002581;1.5384041964849091
6;0.6734797341081193;1.483347890902095
7;0.6851273739260773;1.4266907719865793
8;0.6885701427395654;1.4105460754864787
9;0.6900854066186409;1.4033103497279134
0;0.5843461159260568;1.938275408613464
0;0.6047437881440977;1.8194813103477405
1;0.6365638196033782;1.6584696975208046
2;0.6472103868585903;1.6067440501617412
3;0.6544720454484364;1.5711476506536106
4;0.6625013160033689;1.5314420300399367
5;0.6705813966883756;1.4912957728099518
6;0.6808596730007629;1.441262716837145
7;0.6920656716881195;1.3876459748688128
8;0.6958460613659171;1.3702483520691797
9;0.6975147856378512;1.3623310529971833
